Price,Close,High,Low,Open,Volume
Ticker,002745.SZ,002745.SZ,002745.SZ,002745.SZ,002745.SZ
Date,,,,,
2022-03-02,11.643450736999512,11.679166809597675,11.518444057136772,11.589876202333098,7941879
2022-03-03,11.536303520202637,11.68809705480044,11.473800600617098,11.670238591182622,13641955
2022-03-04,11.393438339233398,11.527373399889974,11.348793035168423,11.438083643298373,11583785
2022-03-07,10.938058853149414,11.339864926426808,10.920200389140518,11.339864926426808,16667652
2022-03-08,10.670187950134277,11.045207182323095,10.580898183898832,10.98270426080444,19356081
2022-03-09,10.571968078613281,10.830909826923914,10.000510045445028,10.750548447872621,21957698
2022-03-10,10.688045501708984,11.018419396801987,10.661257807741013,10.89341271289989,19602345
2022-03-11,10.768407821655273,10.77733620221987,10.375530124505978,10.491607587230158,12645500
2022-03-14,10.491606712341309,10.875555145370333,10.482677480982874,10.661257850459732,11472492
2022-03-15,9.902291297912598,10.500536188246356,9.902291297912598,10.491606956679968,20035361
2022-03-16,10.304097175598145,10.3755293238332,9.732639138179321,10.089800730892977,19766044
2022-03-17,10.393387794494629,10.580897396637571,10.321955646205735,10.411245405797663,18339831
2022-03-18,10.509465217590332,10.509465217590332,10.277310310561692,10.295167921812462,11156600
2022-03-21,10.438032150268555,10.616613370848189,10.339813160180451,10.598754908174877,11602680
2022-03-22,10.411245346069336,10.527322799257458,10.366600040760309,10.446961420008883,14478431
2022-03-23,10.50053596496582,10.554109650148192,10.411245354277371,10.473748270836262,11701593
2022-03-24,10.268381118774414,10.446961489662815,10.241594276025747,10.446961489662815,12028805
2022-03-25,10.384459495544434,10.545182269395704,10.241595186138172,10.259452799044729,14363546
2022-03-28,10.366599082946777,10.455889685314899,10.13444504955859,10.357670703940599,14545752
2022-03-29,10.1433744430542,10.455890731060643,10.08980075750579,10.438032268185587,12454622
2022-03-30,10.509465217590332,10.554109671486446,10.179090468298142,10.179090468298142,19932586
2022-03-31,10.321955680847168,10.518393663531702,10.295167986495148,10.429103903640108,15491840
2022-04-01,10.46481990814209,10.48267751938601,10.170162084541206,10.295167917863777,15355629
2022-04-06,10.527322769165039,10.527322769165039,10.366600011127318,10.40231608496477,15233516
2022-04-07,10.17909049987793,10.536252092923528,10.152303657149483,10.527322861501252,15279812
2022-04-08,9.714781761169434,10.223736042502638,9.66120722293196,10.170162355803562,31241302
2022-04-11,9.339762687683105,9.670136599058724,9.241543692908216,9.634420523546181,20943730
2022-04-12,9.589775085449219,9.598704317090146,9.241543566837034,9.312975716887657,15829281
2022-04-13,9.420124053955078,9.56298835575477,9.330833439561067,9.53620151205193,9619970
2022-04-14,9.500486373901367,9.57191853184857,9.437982597043696,9.464770294927767,8743022
2022-04-15,9.366549491882324,9.446910874330818,9.259401265797134,9.375478723607358,9912500
2022-04-18,9.357620239257812,9.446910853231918,9.196898326258191,9.375478702667996,10855053
2022-04-19,9.491556167602539,9.616562856955849,9.330833402939485,9.375478709961268,11387891
2022-04-20,9.366549491882324,9.589775175777737,9.28618810943383,9.500485413142615,10828460
2022-04-21,8.94688606262207,9.45584036325489,8.929027598686252,9.286188362018331,20279631
2022-04-22,8.929027557373047,9.062962630118273,8.80402086501599,8.920098325446451,13398752
2022-04-25,8.178988456726074,8.777233323680079,8.178988456726074,8.741517250348723,20499938
2022-04-26,7.839685916900635,8.25935044838444,7.812899072796092,8.205775908636932,17116462
2022-04-27,8.223634719848633,8.232563952106881,7.66110586065578,7.7146804026668185,18635116
2022-04-28,7.491455078125,8.036125499897528,7.402164454177406,8.02719626719507,40344359
2022-04-29,7.964693546295166,8.009338859417737,7.536099732472422,7.536099732472422,34388515
2022-05-05,7.86647367477417,8.009337979846473,7.777183058334766,7.964692671626771,19085186
2022-05-06,7.527170181274414,7.687892091383801,7.500382486640859,7.678963711377671,19065300
2022-05-09,7.562886714935303,7.678964177444071,7.491454561320437,7.5271706381278705,12189889
2022-05-10,7.678964138031006,7.723608595157325,7.384306292997435,7.455738446245668,18226946
2022-05-11,7.768253326416016,7.973621390393722,7.643247493292377,7.68789194710032,23251185
2022-05-12,7.795039653778076,7.884330258568848,7.670033828916973,7.705749900525619,15816284
2022-05-13,7.786111831665039,7.92897612832228,7.687891989059403,7.8486147485679885,15619603
2022-05-16,7.839685916900635,7.90218968852913,7.750396152706017,7.812899072796092,16570856
2022-05-17,7.9379048347473145,7.9379048347473145,7.786111316703788,7.839684998637785,17998040
